REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY
07 - Central Visayas,Madridejos Community College,LUC,Cebu,Madridejos
07 - Central Visayas,Salazar Colleges of Science and Institute of Technology-Madredijos,Private HEI,Cebu,Madridejos
07 - Central Visayas,Baptist Theological College,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Cebu Doctor's University,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Cebu Doctor's University College of Medicine,Private HEI,Cebu,Mandaue City
07 - Central Visayas,University of the Visayas-Gullas College of Medicine,Private HEI,Cebu,Mandaue City
07 - Central Visayas,University of the Visayas-Mandaue Campus,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Royal Christian College,Private HEI,Cebu,Mandaue City
07 - Central Visayas,University of Cebu-Lapulapu and Mandaue,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Benedicto College,Private HEI,Cebu,Mandaue City
07 - Central Visayas,St. Paul College Foundation-Mandaue,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Larmen De Guia Memorial College,Private HEI,Cebu,Mandaue City
07 - Central Visayas,ACLC College of Mandaue,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Trade-Tech International Science Institute,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Mandaue City College,LUC,Cebu,Mandaue City
07 - Central Visayas,Saint Louis College -Cebu,Private HEI,Cebu,Mandaue City
07 - Central Visayas,University of Cebu College of Medicine Foundation,Private HEI,Cebu,Mandaue City
07 - Central Visayas,Cebu Normal University - Medellin,SUC Satellite,Cebu,Medellin
07 - Central Visayas,Mary's Children Formation College,Private HEI,Cebu,Minglanilla
07 - Central Visayas,University of the Visayas-Gullas College Minglanilla Campus,Private HEI,Cebu,Minglanilla
07 - Central Visayas,St. Cecilia's College - Cebu,Private HEI,Cebu,Minglanilla
07 - Central Visayas,Mary Our Help Technical Institute for Women,Private HEI,Cebu,Minglanilla
07 - Central Visayas,Cebu Technological University-Moalboal Campus,SUC Satellite,Cebu,Moalboal
07 - Central Visayas,Microsystem International Institute of Technology,Private HEI,Cebu,Naga City
07 - Central Visayas,Cristal e-College (Panglao Campus),Private HEI,Bohol,Panglao
07 - Central Visayas,Mount Moriah College,Private HEI,Cebu,Poro
07 - Central Visayas,Cebu Technological University-San Francisco Campus,SUC Satellite,Cebu,San Francisco
07 - Central Visayas,Negros Oriental State University-Siaton Community College,SUC Satellite,Negros Oriental,Siaton
07 - Central Visayas,Sibonga Community College,LUC,Cebu,Sibonga
07 - Central Visayas,Saint Joseph Seminary College,Private HEI,Negros Oriental,Sibulan
07 - Central Visayas,Negros Maritime College Foundation,Private HEI,Negros Oriental,Sibulan
07 - Central Visayas,BIT International College - Siquijor,Private HEI,Siquijor,Siquijor
07 - Central Visayas,Quezon Memorial Institute of Siquijor,Private HEI,Siquijor,Siquijor
07 - Central Visayas,Carmelite College - Siquijor,Private HEI,Siquijor,Siquijor
07 - Central Visayas,BIT International College-Tagbilaran,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,Bohol Island State University - Tagbilaran,SUC Satellite,Bohol,Tagbilaran City
07 - Central Visayas,Holy Name University,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,Immaculate Heart of Mary Seminary,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,PMI Colleges-Bohol,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,University of Bohol,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,Cristal e-College-Tagbilaran,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,Bohol Wisdom School,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,ACLC-Tagbilaran,Private HEI,Bohol,Tagbilaran City
07 - Central Visayas,Tagbilaran City College,LUC,Bohol,Tagbilaran City 
07 - Central Visayas,Blessed Trinity College,Private HEI,Bohol,Talibon
07 - Central Visayas,BIT International College-Talibon,Private HEI,Bohol,Talibon
07 - Central Visayas,Talibon Polytechnic College,LUC,Bohol,Talibon
07 - Central Visayas,Asian College of Technology,Private HEI,Cebu,Talisay City
07 - Central Visayas,Collegium Societatis Angeli Pacis,Private HEI,Cebu,Talisay City
07 - Central Visayas,Cebu Sacred Heart College,Private HEI,Cebu,Talisay City
07 - Central Visayas,Talisay City College,LUC,Cebu,Talisay City
07 - Central Visayas,Salazar Colleges of Science and Institute of Technology-Talisay City,Private HEI,Cebu,Talisay City
07 - Central Visayas,Diaz College,Private HEI,Negros Oriental,Tanjay City
07 - Central Visayas,Villaflores College,Private HEI,Negros Oriental,Tanjay City
07 - Central Visayas,University of the Visayas-Toledo City Campus,Private HEI,Cebu,Toledo City
07 - Central Visayas,De La Salle Andres Soriano Memorial College,Private HEI,Cebu,Toledo City
07 - Central Visayas,Consolatrix College of Toledo City,Private HEI,Cebu,Toledo City
07 - Central Visayas,Trinidad Municipal College,LUC,Bohol,Trinidad
07 - Central Visayas,Mater Dei College-Bohol,Private HEI,Bohol,Tubigon
07 - Central Visayas,Cebu Technological University-Tuburan Campus,SUC Satellite,Cebu,Tuburan
07 - Central Visayas,Bohol Northern Star College,Private HEI,Bohol,Ubay
08 - Eastern Visayas,Abuyog Community College,LUC,Leyte,Abuyog
08 - Eastern Visayas,Visayas State University-Alang-Alang Campus,SUC Satellite,Leyte,Alang-Alang
08 - Eastern Visayas,Samar State University-Basey Campus,SUC Satellite,Western Samar,Basey
08 - Eastern Visayas,Bato Institute of Science and Technology,Private HEI,Leyte,Bato
08 - Eastern Visayas,Franciscan College of the Immaculate Conception,Private HEI,Leyte,Baybay City
08 - Eastern Visayas,Visayas State University,SUC Main,Leyte,Baybay City
08 - Eastern Visayas,Biliran Province State University-Biliran Campus,SUC Satellite,Biliran,Biliran
08 - Eastern Visayas,Asia College of Advance Studies In Arts Sciences and Technology,Private HEI,Northern Samar,Bobon
08 - Eastern Visayas,Southern Leyte State University-Bontoc Campus,SUC Satellite,Southern Leyte,Bontoc
08 - Eastern Visayas,Eastern Samar State University,SUC Main,Eastern Samar,Borongan City
08 - Eastern Visayas,St. Mary's College of Borongan,Private HEI,Eastern Samar,Borongan City
08 - Eastern Visayas,Our Lady of Mercy College,Private HEI,Eastern Samar,Borongan City
08 - Eastern Visayas,Eastern Visayas State University-Burauen Campus,SUC Satellite,Leyte,Burauen
08 - Eastern Visayas,Burauen Community College,LUC,Leyte,Burauen
08 - Eastern Visayas,Christ the King College-Calbayog City,Private HEI,Western Samar,Calbayog City
08 - Eastern Visayas,Saint Vincent De Paul College Seminary,Private HEI,Western Samar,Calbayog City
08 - Eastern Visayas,Northwest Samar State University,SUC Main,Western Samar,Calbayog City
08 - Eastern Visayas,Eastern Samar State University-Can-Avid Campus,SUC Satellite,Eastern Samar,Can-Avid
08 - Eastern Visayas,Eastern Visayas State University-Carigara Campus,SUC Satellite,Leyte,Carigara
08 - Eastern Visayas,Holy Cross College of Carigara,Private HEI,Leyte,Carigara
08 - Eastern Visayas,Colegio de San Lorenzo Ruiz de Manila of Northern Samar,Private HEI,Northern Samar,Catarman
08 - Eastern Visayas,University of Eastern Philippines,SUC Main,Northern Samar,Catarman
08 - Eastern Visayas,Eastern Visayas Central Colleges,Private HEI,Northern Samar,Catarman
08 - Eastern Visayas,Northern Samar Colleges,Private HEI,Northern Samar,Catarman
08 - Eastern Visayas,Global School for Technological Studies,Private HEI,Northern Samar,Catarman
08 - Eastern Visayas,St. Mary's College of Catbalogan,Private HEI,Western Samar,Catbalogan City
08 - Eastern Visayas,Samar Colleges,Private HEI,Western Samar,Catbalogan City
08 - Eastern Visayas,Samar State University-Mercedes Campus,SUC Satellite,Western Samar,Catbalogan City
08 - Eastern Visayas,Samar State University,SUC Main,Western Samar,Catbalogan City
08 - Eastern Visayas,University of Eastern Philippines-Catubig Campus,SUC Satellite,Northern Samar,Catubig
08 - Eastern Visayas,Mater Divinae Gratiae College,Private HEI,Eastern Samar,Dolores
08 - Eastern Visayas,Eastern Samar State University-Guiuan Campus,SUC Satellite,Eastern Samar,Guiuan
08 - Eastern Visayas,Montano Lamberte Go Collegeof Learning,Private HEI,Leyte,Hilangos
08 - Eastern Visayas,Saint Michael College of Hindang,Private HEI,Leyte,Hindang
08 - Eastern Visayas,Southern Leyte State University-Hinunangan Campus,SUC Satellite,Southern Leyte,Hinunangan
08 - Eastern Visayas,Visayas State University-Isabel Campus,SUC Satellite,Leyte,Isabel
08 - Eastern Visayas,University of Eastern Philippines-Laoang Campus,SUC Satellite,Northern Samar,Laoang
08 - Eastern Visayas,Colegio De Las Navas,LUC,Northern Samar,Las Navas
08 - Eastern Visayas,Colegio de San Juan Samar,Private HEI,Northern Samar,Lavezares
08 - Eastern Visayas,The College of Maasin,Private HEI,Southern Leyte,Maasin City
08 - Eastern Visayas,Saint Joseph College,Private HEI,Southern Leyte,Maasin City
08 - Eastern Visayas,Southern Leyte State University-Maasin Campus,SUC Satellite,Southern Leyte,Maasin City
08 - Eastern Visayas,Eastern Samar State University-Maydolong Campus,SUC Satellite,Eastern Samar,Maydolong
08 - Eastern Visayas,Biliran Province State University-Main,SUC Main,Biliran,Naval
08 - Eastern Visayas,St. Peter's College of Ormoc,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,Sto. Niño College of Ormoc,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,Western Leyte College of Ormoc City,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,STI College-Ormoc,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,Eastern Visayas State University-Ormoc Campus,SUC Satellite,Leyte,Ormoc City
08 - Eastern Visayas,San Lorenzo Ruiz College of Ormoc,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,ACLC College-Ormoc,Private HEI,Leyte,Ormoc City
08 - Eastern Visayas,Sacred Heart Seminary,Private HEI,Leyte,Palo
08 - Eastern Visayas,Saint Paul School of Professional Studies,Private HEI,Leyte,Palo
08 - Eastern Visayas,Saint Scholastica's College-Tacloban,Private HEI,Leyte,Palo
08 - Eastern Visayas,St. John the Evangelist School of Theology,Private HEI,Leyte,Palo
08 - Eastern Visayas,University of the Philippines Manila - School of Health Sciences,SUC Satellite,Leyte,Palo
08 - Eastern Visayas,Palompon Institute of Technology,SUC Main,Leyte,Palompon
08 - Eastern Visayas,Samar State University-Paranas Campus,SUC Satellite,Western Samar,Paranas
08 - Eastern Visayas,Eastern Samar State University-Salcedo Campus,SUC Satellite,Eastern Samar,Salcedo
08 - Eastern Visayas,Tan Ting Bing Memorial Colleges Foundation,Private HEI,Northern Samar,San Isidro
08 - Eastern Visayas,Northwest Samar State University-San Jorge Campus,SUC Satellite,Western Samar,San Jorge
08 - Eastern Visayas,Southern Leyte State University-San Juan Campus,SUC Satellite,Southern Leyte,San Juan
08 - Eastern Visayas,Southern Leyte State University,SUC Main,Southern Leyte,Sogod
08 - Eastern Visayas,Saint Thomas Aquinas College,Private HEI,Southern Leyte,Sogod
08 - Eastern Visayas,Palompon Institute of Technology-Tabango Campus,SUC Satellite,Leyte,Tabango
08 - Eastern Visayas,Colegio De Sta. Lourdes of Leyte Foundation,Private HEI,Leyte,Tabontabon
08 - Eastern Visayas,Asian Development Foundation College,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Dr. V. Orestes Romualdez Educational Foundation,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Doña Remedios Trinidad-Romualdez Medical Foundation,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Holy Infant College,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Leyte Colleges,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Eastern Visayas State University,SUC Main,Leyte,Tacloban City
08 - Eastern Visayas,Leyte Normal University,SUC Main,Leyte,Tacloban City
08 - Eastern Visayas,University of the Philippines in the Visayas Tacloban College,SUC Satellite,Leyte,Tacloban City
08 - Eastern Visayas,JE Mondejar Computer College,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,AMA Computer College-Tacloban City,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,ABE International College of Business and Economics-Tacloban City,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Holy Spirit College Foundation of Leyte,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Colegio de la Salle Fondation de Tacloban,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Holy Virgin of Salvacion Foundation College,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,ACLC College-Tacloban City,Private HEI,Leyte,Tacloban City
08 - Eastern Visayas,Eastern Visayas State University-Tanauan Campus,SUC Satellite,Leyte,Tanauan
08 - Eastern Visayas,Visayas State University-Tolosa Campus,SUC Satellite,Leyte,Tolosa
08 - Eastern Visayas,Southern Leyte State University-Tomas Oppus Campus,SUC Satellite,Southern Leyte,Tomas Oppus
08 - Eastern Visayas,Visayas State University-Villaba Campus,SUC Satellite,Leyte,Villaba
09 - Zamboanga Peninsula,Western Mindanao State University-Alicia,SUC Satellite,Zamboanga Sibugay,Alicia
09 - Zamboanga Peninsula,Western Mindanao State University-Aurora,SUC Satellite,Zamboanga del Sur,Aurora
09 - Zamboanga Peninsula,Aurora Pioneers Memorial College,Private HEI,Zamboanga del Sur,Aurora
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College,LUC,Zamboanga del Sur,Aurora
09 - Zamboanga Peninsula,St. John College of Buug Foundation,Private HEI,Zamboanga Sibugay,Buug
09 - Zamboanga Peninsula,Mindanao State University-Buug College,SUC Satellite,Zamboanga Sibugay,Buug
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Katipunan Campus,SUC Satellite,Zamboanga del Norte,Dapitan City
09 - Zamboanga Peninsula,Rizal Memorial Institute of Dapitan City,Private HEI,Zamboanga del Norte,Dapitan City
09 - Zamboanga Peninsula,Jose Rizal Memorial State University - Main,SUC Main,Zamboanga del Norte,Dapitan City
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Tampilisan,SUC Satellite,Zamboanga del Norte,Dapitan City
09 - Zamboanga Peninsula,Western Mindanao State University-Diplahan,SUC Satellite,Zamboanga Sibugay,Diplahan
09 - Zamboanga Peninsula,Andres Bonifacio College,Private HEI,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,DMC College Foundation,Private HEI,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,Saint Vincent's College,Private HEI,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,Dipolog City Institute of Technology,Private HEI,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Dipolog,SUC Satellite,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,STI College - Dipolog,Private HEI,Zamboanga del Norte,Dipolog City
09 - Zamboanga Peninsula,Southern Mindanao College-Agro Tech,Private HEI,Zamboanga del Sur,Dumalinao
09 - Zamboanga Peninsula,Josefina H. Cerilles State College - Dumingag,SUC Satellite,Zamboanga del Sur,Dumingag
09 - Zamboanga Peninsula,Western Mindanao State University-Imelda,SUC Satellite,Zamboanga Sibugay,Imelda
09 - Zamboanga Peninsula,Dr. Aurelio Mendoza Memorial Colleges,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Marian College,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Western Mindanao State University-Ipil,SUC Satellite,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Universidad de Zamboanga-Ipil,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Medina College-Ipil,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Sibugay Technical Institute,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Aim High College,Private HEI,Zamboanga Sibugay,Ipil
09 - Zamboanga Peninsula,Basilan State College,SUC Main,Basilan,Isabela City
09 - Zamboanga Peninsula,Claret College of Isabela,Private HEI,Basilan,Isabela City
09 - Zamboanga Peninsula,Juan S. Alano Memorial School,Private HEI,Basilan,Isabela City
09 - Zamboanga Peninsula,Computer Technologies Institute of Basilan,Private HEI,Basilan,Isabela City
09 - Zamboanga Peninsula,Alhadeetha Mindanao College,Private HEI,Zamboanga del Sur,Labangan
09 - Zamboanga Peninsula,St. Mary's College of Labason,Private HEI,Zamboanga del Norte,Labason
09 - Zamboanga Peninsula,Southern Peninsula College,Private HEI,Zamboanga del Norte,Labason
09 - Zamboanga Peninsula,Josefina H. Cerilles State College-Canuto M.S. Enerio College of Arts and Trades,SUC Satellite,Zamboanga del Sur,Lakewood
09 - Zamboanga Peninsula,Ave Maria College,Private HEI,Zamboanga del Norte,Liloy
09 - Zamboanga Peninsula,Western Mindanao State University-Mabuhay,SUC Satellite,Zamboanga Sibugay,Mabuhay
09 - Zamboanga Peninsula,Western Mindanao State University-Malangas,SUC Satellite,Zamboanga Sibugay,Malangas
09 - Zamboanga Peninsula,Saint Estanislao Kostka College,Private HEI,Zamboanga del Norte,Manukan
09 - Zamboanga Peninsula,Blancia College Foundation,Private HEI,Zamboanga del Sur,Molave
09 - Zamboanga Peninsula,Western Mindanao State University-Molave,SUC Satellite,Zamboanga del Sur,Molave
09 - Zamboanga Peninsula,Western Mindanao State University-Naga,SUC Satellite,Zamboanga Sibugay,Naga
09 - Zamboanga Peninsula,Western Mindanao State University-Olutanga,SUC Satellite,Zamboanga Sibugay,Olutanga
09 - Zamboanga Peninsula,Saint Columban College,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Southern Mindanao Colleges,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Western Mindanao State University-Pagadian,SUC Satellite,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Medina College-Pagadian,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Zamboanga Del Sur Maritime Institute of Technology,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Pagadian Capitol College,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Eastern Mindanao College of Technology,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Philippine Technological and Marine Sciences-Zamboanga del Sur,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Lucan Central Colleges,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Universidad de Zamboanga - Pagadian,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Yllana Bay View College,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Our Lady of Triumph Institute of Technology,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,West Prime Horizon Institute,Private HEI,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College - Pagadian,LUC,Zamboanga Del Sur,Pagadian City
09 - Zamboanga Peninsula,Pagadian City International College,LUC,Zamboanga del Sur,Pagadian City
09 - Zamboanga Peninsula,Colegio de San Francisco Javier of Rizal Zamboanga del Norte,Private HEI,Zamboanga del Norte,Rizal
09 - Zamboanga Peninsula,Philippine Advent College-Salug,Private HEI,Zamboanga del Norte,Salug
09 - Zamboanga Peninsula,ZAMSULA Everlasting College,Private HEI,Zamboanga del Norte,Salug
09 - Zamboanga Peninsula,Josefina H. Cerilles State College,SUC Main,Zamboanga del Sur,San Miguel
09 - Zamboanga Peninsula,Western Mindanao State University-Siay,SUC Satellite,Zamboanga Sibugay,Siay
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Sibuco,SUC Satellite,Zamboanga del Norte,Sibuco
09 - Zamboanga Peninsula,Philippine Advent College,Private HEI,Zamboanga del Norte,Sindangan
09 - Zamboanga Peninsula,Saint Joseph College of Sindangan,Private HEI,Zamboanga del Norte,Sindangan
09 - Zamboanga Peninsula,Philippine Advent College - Leon B. Postigo Campus,Private HEI,Zamboanga del Norte,Sindangan
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Siocon,SUC Satellite,Zamboanga del Norte,Siocon
09 - Zamboanga Peninsula,Hyrons College Philippines,Private HEI,Zamboanga del Sur,Tukuran
09 - Zamboanga Peninsula,Western Mindanao State University-Tungawan,SUC Satellite,Zamboanga Sibugay,Tungawan
09 - Zamboanga Peninsula,Ateneo de Zamboanga University,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Brent Hospital and Colleges,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Immaculate Conception Archdiocesan School,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Pilar Colege of Zamboanga City,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Southern City Colleges,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Western Mindanao State University,SUC Main,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Western Mindanao State University-Curuan,SUC Satellite,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Universidad de Zamboanga,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University,SUC Main,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Zamboanga State College of Marine Sciences and Technology,SUC Main,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,STI College-Zamboanga,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Ebenezer Bible College and Seminary,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,AMA Computer College-Zamboanga City,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Computer Technologies Institute of Zamboanga City,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,HMIJ Foundation Philippine Islamic College,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Western Mindanao Foundation College,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Nuevo Zamboanga College,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Southern City Colleges-West Campus,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Colegio de La Ciudad de Zamboanga,LUC,Zamboanga Del Sur,Zamboanga City
09 - Zamboanga Peninsula,Metro Zampen College,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Emmauss College of Theology Foundation,Private HEI,Zamboanga del Sur,Zamboanga City
09 - Zamboanga Peninsula,Ferndale College – Zamboanga Peninsula,Private HEI,Zamboanga del Sur ,Zamboanga City
10 - Northern Mindanao,Bukidnon State University-Alubijid ESC,SUC Satellite,Misamis Oriental,Alubijid
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Alubijid,SUC Satellite,Misamis Oriental,Alubijid
10 - Northern Mindanao,St. Peter's College of Misamis Oriental,Private HEI,Misamis Oriental,Balingasag
10 - Northern Mindanao,St. Rita's College of Balingasag,Private HEI,Misamis Oriental,Balingasag
10 - Northern Mindanao,Misamis Oriental Institute of Science and Technology,Private HEI,Misamis Oriental,Balingasag
10 - Northern Mindanao,Bukidnon State University-Baungon BSU,SUC Satellite,Bukidnon,Baungon
10 - Northern Mindanao,Bukidnon State University-Cabanglasan ESC,SUC Satellite,Bukidnon,Cabanglasan
10 - Northern Mindanao,Blessed Mother College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Capitol University,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Cagayan De Oro College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Liceo De Cagayan University,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Lourdes College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,SUC Main,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Golden Heritage Polytechnic College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Pilgrim Christian College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,St. John Vianney Theological Seminary,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Southern De Oro Philippines College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Xavier University (Ateneo de Cagayan),Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,STI College-Cagayan De Oro,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Oro Bible College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Vineyard International Polytechnic College,Private HEI,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Balubal,SUC Satellite,Misamis Oriental,Cagayan de Oro City
10 - Northern Mindanao,Sacred Heart College of Calamba,Private HEI,Misamis Occidental,Calamba
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,SUC Satellite,Misamis Oriental,Claveria
10 - Northern Mindanao,Bukidnon State University-Damulog Satellite ESC,SUC Satellite,Bukidnon,Damulog
10 - Northern Mindanao,Southern Bukidnon Foundation Academy,Private HEI,Bukidnon,Don Carlos
10 - Northern Mindanao,Don Carlos Polytechnic College,LUC,Bukidnon,Don Carlos
10 - Northern Mindanao,The New El Salvador Colleges,Private HEI,Misamis Oriental,El Salvador City
10 - Northern Mindanao,City College of El Salvador,LUC,Misamis Oriental,El Salvador City
10 - Northern Mindanao,Christ the King College,Private HEI,Misamis Oriental,Gingoog City
10 - Northern Mindanao,Gingoog City College,Private HEI,Misamis Oriental,Gingoog City
10 - Northern Mindanao,Gingoog Christian College,Private HEI,Misamis Oriental,Gingoog City
10 - Northern Mindanao,Community College of Gingoog City,LUC,Misamis Oriental,Gingoog City
10 - Northern Mindanao,STI College-Iligan,Private HEI,Lanao del Norte,Iligan City
10 - Northern Mindanao,Iligan Capitol College,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Iligan Medical Center College,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Adventist Medical Center College,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Mindanao State University - Iligan Institute of Technology,SUC Satellite,Lanao Del Norte,Iligan City
10 - Northern Mindanao,St. Michael's College,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,St. Peter's College,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Santa Monica Institute of Technology,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Lyceum of Iligan Foundation,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Masters Technological Institute of Mindanao,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Picardal Institute of Science and Technology,Private HEI,Lanao Del Norte,Iligan City
10 - Northern Mindanao,Bukidnon State University-Impasugong,SUC Satellite,Bukidnon,Impasugong
10 - Northern Mindanao,Initao College,LUC,Misamis Oriental,Initao
10 - Northern Mindanao,Colegio De Santo Niño De Jasaan,Private HEI,Misamis Oriental,Jasaan
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Jasaan,SUC Satellite,Misamis Oriental,Jasaan
10 - Northern Mindanao,Adventist Technological Institute,Private HEI,Misamis Occidental,Jimenez
10 - Northern Mindanao,Bukidnon State University-Kadingilan,SUC Satellite,Bukidnon,Kadingilan
10 - Northern Mindanao,Bukidnon State University-Kalilangan BSU,SUC Satellite,Bukidnon,Kalilangan
10 - Northern Mindanao,Roman C. Villalon Memorial Colleges Foundation,Private HEI,Bukidnon,Kibawe
